line_no,is_ainu_line,num_tokens,ngram_size,num_ngrams,num_pred_target_ngrams,num_pred_non_target_ngrams,non_target_labels_set,non_target_ngram_samples,text
1,False,16,2,15,14,1,ja,hawean shitato。,sekor hawean =an kor onne =an pe ne kus a= ye sekor sino nispa hawean shitato。
2,False,3,2,2,1,1,ja,... yapparihitorinoninnohouhairoirokikerumonna。oozeikitarayappashi。,no ... yapparihitorinoninnohouhairoirokikerumonna。oozeikitarayappashi。
3,True,14,2,13,13,0,,,"ora nani kondo pirka menoko a= ona etun h_ine a= eutanne ruwe ne hine,"
4,False,7,2,6,5,1,ja,hawean shitato。,a= eisoytak sekor sine okkaypo hawean shitato。
5,True,6,2,5,5,0,,,"sekor, amamecikappo isoytak ruwe ne tte"
6,False,15,2,14,12,2,ja,kisarpuye kokohe、haedakarakokohe || kokohe、haedakarakokohe kotan,"sekor, kotan kor kur kisarpuye kokohe、haedakarakokohe kotan kor kur kisarpuye a= eus wa, a= ye"
7,True,10,2,9,9,0,,,"“mus, mus kami an kusu siknu =an ruwe ne, kusu"
8,False,6,2,5,4,1,ja,hike tteittaraokaasan、otousantookaasanottesodejibungaotte,okay =an pe ne hike tteittaraokaasan、otousantookaasanottesodejibungaotte
9,False,10,2,9,8,1,ja,ekimne shiniittesoshitekumawoookiikumademo,a= onaha a= tura wa ekimne =an otousankatatte ekimne shiniittesoshitekumawoookiikumademo
10,True,5,2,4,4,0,,,korehahontouni pirka kamuy dakara akusu
11,False,10,2,9,6,3,ja,kopasirota toittaraotousangakumanokawatokashikanokawamotsutenaichisaittekurukaranochiniiimonowotaitesono || toittaraotousangakumanokawatokashikanokawamotsutenaichisaittekurukaranochiniiimonowotaitesono horkew || kamuy ttejibunnodaijinakamisamadakaramonotabesaseteyatteteotousangaittandatte,orowano i= kopasirota toittaraotousangakumanokawatokashikanokawamotsutenaichisaittekurukaranochiniiimonowotaitesono horkew ni a= kor kamuy ttejibunnodaijinakamisamadakaramonotabesaseteyatteteotousangaittandatte
12,False,9,2,8,7,1,ja,na” toittarachantoiimonowotaiteuchinodaijinakamisamanitabesaseteteotousanitteitano,a= kor kamuy e= ipere kus ne na” toittarachantoiimonowotaiteuchinodaijinakamisamanitabesaseteteotousanitteitano
13,False,13,2,12,9,3,ja,unuhu otousanfunedemodekaketanowakattarakondookaasangasugokuikarundattekono || otousanfunedemodekaketanowakattarakondookaasangasugokuikarundattekono wen || horkew nokotoitteikarundatte,"otousan repun wa arpa, hi eramuan unuhu otousanfunedemodekaketanowakattarakondookaasangasugokuikarundattekono wen kamuy tte horkew nokotoitteikarundatte"
