line_no,is_ainu_line,num_tokens,ngram_size,num_ngrams,num_pred_target_ngrams,num_pred_non_target_ngrams,non_target_labels_set,non_target_ngram_samples,text
1,True,12,2,11,11,0,,,"pakno nispa isam nispa a= ne hine an =an pe ne hike,"
2,True,12,2,11,11,0,,,ekimne =an kor yuk ne ciki kamuy ne ciki nuwe a= koan.
3,True,12,2,11,11,0,,,uturu ta atuy teksam ta san =an wa peray =an ne ya
4,True,8,2,7,7,0,,,"repotcikoykip yaotcikoykip nuwe a= koan pe ne kor,"
5,True,16,2,15,15,0,,,"sine ar suy ne suy pis ta san =an h_ine peray =an kor an =an akusu,"
6,True,5,2,4,4,0,,,sirar ka ta oni an.
7,True,5,2,4,4,0,,,"oni peray kor an h_ine,"
8,True,7,2,6,6,0,,,"""pirka upen kam a= pa siri an."""
9,True,5,2,4,4,0,,,"sekor hawean kor ek korka,"
10,True,7,2,6,6,0,,,"kira =an ka eaykap pe ne kusu,"
11,True,7,2,6,6,0,,,"neno an =an wa an =an akusu,"
12,True,3,2,2,2,0,,,"i= uk h_ine,"
13,True,4,2,3,3,0,,,"orano cip or omare,"
14,True,11,2,10,10,0,,,"i= omare hine i= kusa hine hinak ta paye =an akusu,"
15,True,3,2,2,2,0,,,"poru an h_ine,"
16,True,8,2,7,7,0,,,"poru or_ ta ahup =an ruwe ne akusu,"
17,True,6,2,5,5,0,,,"pon oni an ruwe ne hine,"
18,True,4,2,3,3,0,,,"""a= kor pon oni,"
19,True,10,2,9,9,0,,,upen kam a= pa wa ek =an ruwe ne na.
20,True,15,2,14,14,0,,,hokure pirkano e= ipere wa mimus yakne a= e yak a= ekironnu kusu ne na.
21,True,12,2,11,11,0,,,"ene an upen kam ney ta ka a= pa rusuy h_ike ka,"
22,True,7,2,6,6,0,,,"a= pa ka somo ki a p."""
23,True,6,2,5,5,0,,,sekor hawean kor ki a korka
24,True,8,2,7,7,0,,,a= sitoma katun ki ka a= eaykap kusu
25,True,3,2,2,2,0,,,mosmano an =an.
26,True,4,2,3,3,0,,,orano pon oni suke.
27,True,5,2,4,4,0,,,pirkano suke wa i= ipere.
28,True,7,2,6,6,0,,,"ipe =an kor an =an a p,"
29,True,7,2,6,6,0,,,"konto oni ekimne wa isam h_i kusu,"
30,True,9,2,8,8,0,,,"""pon oni e= ne wa hnta e= onaha enupur?"""
31,True,4,2,3,3,0,,,"sekor hawean =an akusu,"
32,True,4,2,3,3,0,,,"""a= onaha enupur pe,"
33,True,9,2,8,8,0,,,"kunne katak retar katak ne wa enupur pe ne."""
34,True,4,2,3,3,0,,,"sekor hawean h_i kusu,"
35,True,5,2,4,4,0,,,"""mak a= eywanke p an?"""
36,True,4,2,3,3,0,,,"sekor hawean =an akusu,"
37,True,8,2,7,7,0,,,"""kunne katak sietok un a= osura kor sirkunne,"
38,True,11,2,10,10,0,,,"retar katak sioka un a= osura kor sirpeker pe ne wa,"
39,True,10,2,9,9,0,,,kira =an kor retar katak sietok un a= osura wa
40,True,7,2,6,6,0,,,"sioka un kunne katak a= osura kor,"
41,True,13,2,12,12,0,,,"somo a= i= oskoni p ne wa an ne yak a= onaha ye."""
42,True,5,2,4,4,0,,,"sekor kane hawean h_i kusu,"
43,True,6,2,5,5,0,,,"""sanke wa i= nukare yak pirka."""
44,True,4,2,3,3,0,,,"sekor hawean =an akus,"
45,True,8,2,7,7,0,,,"""a= sanke yak a= ona i= koyki kusu,"
46,True,3,2,2,2,0,,,"somo a= sanke."""
47,True,3,2,2,2,0,,,sekor hawean yakka
48,True,8,2,7,7,0,,,"""sanke wa i= nukare poka ki yak pirka."""
49,True,5,2,4,4,0,,,"sekor kane hawean =an akusu,"
50,True,5,2,4,4,0,,,"sanke hine i= nukare hine,"
51,True,8,2,7,7,0,,,"""tap neno tap neno a= eywanke p ne."""
52,True,5,2,4,4,0,,,"sekor hawean h_i kusu oraun,"
53,True,5,2,4,4,0,,,"""mosma hnta e= ona enupur?"""
54,True,6,2,5,5,0,,,"sekor hawean =an ruwe ne akusu,"
55,True,7,2,6,6,0,,,"""ane kem ruwe kem a= ona enupur."""
56,True,3,2,2,2,0,,,"sekor hawean kusu,"
57,True,5,2,4,4,0,,,"""mak a= eywanke p an?"""
58,True,4,2,3,3,0,,,sekor hawean =an akusu
59,True,8,2,7,7,0,,,"""ane kem sihekote a= turi kor ray =an."
60,True,10,2,9,9,0,,,"ruwe kem sihekote a= etaye kor siknu =an pe ne."""
61,True,5,2,4,4,0,,,sekor kane hawean h_i kusu
62,True,6,2,5,5,0,,,"""sanke wa i= nukare yak pirka."""
63,True,7,2,6,6,0,,,"sekor kane hawean =an ruwe ne akusu,"
64,True,7,2,6,6,0,,,kopan hikeka a= ye ayne mina tura
65,True,10,2,9,9,0,,,"""nen ka kira =an ka somo ki p ne kus,"
66,True,7,2,6,6,0,,,"pon oni sanke wa i= nukare yakne,"
67,True,7,2,6,6,0,,,mismu =an kusu a= nukar kusu ne.
68,True,4,2,3,3,0,,,"sekor hawean =an akusu,"
69,True,6,2,5,5,0,,,pon oni sanke hine i= nukare.
70,True,8,2,7,7,0,,,"""tap neno tap neno a= eywanke p ne."""
71,True,2,2,1,1,0,,,sekor y_e.
72,True,8,2,7,7,0,,,"""a= teke omare yak a= nukar kusu ne."""
73,True,6,2,5,5,0,,,sekor hawean =an ruwe ne akusu
74,True,9,2,8,8,0,,,"a= teke ane kem ruwe kem omare h_i kusu,"
75,True,2,2,1,1,0,,,"“sekor h_e?"""
76,True,4,2,3,3,0,,,"sekor hawean =an kor,"
77,True,13,2,12,12,0,,,"ane kem hekote a= turi ruwe ne kusu ray ruwe ne hi kusu,"
78,True,9,2,8,8,0,,,"ora nea retar katak kunne katak a= uk h_ine,"
79,True,16,2,15,15,0,,,"orano kira =an h_ine ma =an hine heyasi yan =an kusu ma =an ruwe ne akusu,"
80,True,4,2,3,3,0,,,"oni i= kesanpa hine,"
81,True,14,2,13,13,0,,,"""neun e= kira h_ike a= e= oskoni somo ki e= ki p ne y_a?"""
82,True,4,2,3,3,0,,,sekor hawean kor ki.
83,True,7,2,6,6,0,,,"i= oskoni noyne humi an h_i kusu,"
84,True,9,2,8,8,0,,,"kunne katak sioka un a= osura ruwe ne akusu,"
85,True,7,2,6,6,0,,,i= etokoho sirkun ... i= okake sirkunne.
86,True,4,2,3,3,0,,,retar katak sio ...
87,True,10,2,9,9,0,,,"sietok un a= osura kor retar katak siru emakkosanu hine,"
88,True,7,2,6,6,0,,,orano kira =an hine yan =an h_ine
89,True,9,2,8,8,0,,,"konto a= uni ta an =an ka sitoma kusu,"
90,True,7,2,6,6,0,,,"orowa konto oyak ta arpa =an h_ine,"
91,True,5,2,4,4,0,,,"orano … orano an =an,"
92,True,8,2,7,7,0,,,orano nea retar katak kunne katak a= epirka.
93,True,13,2,12,12,0,,,"nea ane kem ruwe kem ne yakka a= epirka kor an =an akusu,"
94,True,12,2,11,11,0,,,"oro ta suy i= penake ta wen kur okkaypo an a p,"
95,True,4,2,3,3,0,,,"oro ta san h_ine,"
96,True,11,2,10,10,0,,,"""a= kor okkaypo mak ki hine ene nispa ne ru an?"""
97,True,4,2,3,3,0,,,"sekor hawean h_i kusu,"
98,True,5,2,4,4,0,,,"""tapne kane ne ruwe ne."""
99,True,4,2,3,3,0,,,"sekor hawean =an akus,"
100,True,6,2,5,5,0,,,"pis ta san ruwe ne h_ine,"
101,True,4,2,3,3,0,,,"akusu oni an h_ine,"
102,True,9,2,8,8,0,,,"suy oni uni ta a= tura wa arpa hine,"
103,True,4,2,3,3,0,,,"oni ekimne okake ta,"
104,True,5,2,4,4,0,,,"ne pon oni kowepekennu hine,"
105,True,6,2,5,5,0,,,"retar katak kunne katak uk h_ine,"
106,True,7,2,6,6,0,,,"oraun ane kem ruwe kem uk h_ine,"
107,True,10,2,9,9,0,,,"ne ane kem pon oni hekote turi ruwe ne hine,"
108,True,4,2,3,3,0,,,"pon oni ray rapokke,"
109,True,4,2,3,3,0,,,"kira ruwe ne p,"
110,True,3,2,2,2,0,,,ene oni WA
111,True,10,2,9,9,0,,,"""te ta ka ene an wen puri kor a wenkur"
112,True,8,2,7,7,0,,,"suy a= kor mampuri eikka siri ene an."""
113,True,5,2,4,4,0,,,sekor hawean kor kesanpa hine
114,True,7,2,6,6,0,,,"tane a= uk noyne humas h_i ta,"
115,True,5,2,4,4,0,,,"retar katak sietok un osura,"
116,True,11,2,10,10,0,,,"kunne katak sioka un osura humi ne kunak ramu a p,"
117,True,5,2,4,4,0,,,a= kimatekka p ne kusu
118,True,8,2,7,7,0,,,kunne katak sioka un ... sietok un osura.
119,True,6,2,5,5,0,,,"retar katak sioka un osura hine,"
120,True,5,2,4,4,0,,,"oro ta oni ek h_ine,"
121,True,12,2,11,11,0,,,"""KONOYARO te ta ka ene an wen puri e= kor a kusu"
122,True,10,2,9,9,0,,,"a= e= uk wa a= e= ponekonukunuku p ne na."""
123,True,3,2,2,2,0,,,sekor hawean kor
124,True,6,2,5,5,0,,,"nani a= eoma h_ine arpa hine,"
125,True,5,2,4,4,0,,,"ne wa an pe ani,"
126,True,7,2,6,6,0,,,nep okkaypo tu ray wen ray sekor.
127,True,13,2,12,12,0,,,"ne ene iki wa an pe a= ne hi ka a= eramiskari no,"
128,True,6,2,5,5,0,,,poro cise or_ ta yayesikarun =an.
129,True,11,2,10,10,0,,,"matkaci a= ne hine an =an pe ne ruwe ne h_ine,"
130,True,7,2,6,6,0,,,"nen i= epakasnu ka somo ki korka,"
131,True,9,2,8,8,0,,,"nep ne ruwe ne ya muye a= kar wa,"
132,True,5,2,4,4,0,,,"parka esik wa okay pe,"
133,True,6,2,5,5,0,,,yayesikarun =an h_i orano a= rapte.
134,True,9,2,8,8,0,,,ni a= kor a= otkeotke wa a= rapte wa
135,True,7,2,6,6,0,,,"wor a= omare wa a= huraye wa,"
136,True,6,2,5,5,0,,,"nen i= epakasnu somo ki korka,"
137,True,3,2,2,2,0,,,ape a= ari.
138,True,9,2,8,8,0,,,"ni poronno sem or_ ta okay pe ne kus,"
139,True,10,2,9,9,0,,,ape a= ari wa a= supa wa a= e kor
140,True,7,2,6,6,0,,,keraan h_ike a= e kor an =an.
141,True,11,2,10,10,0,,,"oraun so noski pakno tumun rikin wa an pe ne kusu,"
142,False,9,2,8,6,2,ja,NANI TUKAUMONODEMO || TUKAUMONODEMO ARUKARA,orano tumun ... nep aeyay ... NANI TUKAUMONODEMO ARUKARA
143,True,9,2,8,8,0,,,"konto, nep aeyayramekotep ne yakka okay pe ne kusu,"
144,True,11,2,10,10,0,,,ani a= ninpa wa soy a= omare wa soy a= omare.
145,True,6,2,5,5,0,,,cise onnay ka pirkano a= kar.
