line_no,is_ainu_line,num_tokens,num_pred_target,num_pred_non_target,non_target_labels_set,non_target_token_samples,text
1,False,16,15,1,ja,shitato。,sekor hawean =an kor onne =an pe ne kus a= ye sekor sino nispa hawean shitato。
2,False,3,2,1,ja,yapparihitorinoninnohouhairoirokikerumonna。oozeikitarayappashi。,no ... yapparihitorinoninnohouhairoirokikerumonna。oozeikitarayappashi。
3,False,14,13,1,ja,kondo,"ora nani kondo pirka menoko a= ona etun h_ine a= eutanne ruwe ne hine,"
4,False,7,6,1,ja,shitato。,a= eisoytak sekor sine okkaypo hawean shitato。
5,True,6,6,0,,,"sekor, amamecikappo isoytak ruwe ne tte"
6,False,15,14,1,ja,kokohe、haedakarakokohe,"sekor, kotan kor kur kisarpuye kokohe、haedakarakokohe kotan kor kur kisarpuye a= eus wa, a= ye"
7,False,10,9,1,ja,kami,"“mus, mus kami an kusu siknu =an ruwe ne, kusu"
8,False,6,4,2,ja,hike || tteittaraokaasan、otousantookaasanottesodejibungaotte,okay =an pe ne hike tteittaraokaasan、otousantookaasanottesodejibungaotte
9,False,10,8,2,ja,otousankatatte || shiniittesoshitekumawoookiikumademo,a= onaha a= tura wa ekimne =an otousankatatte ekimne shiniittesoshitekumawoookiikumademo
10,False,5,3,2,ja,korehahontouni || dakara,korehahontouni pirka kamuy dakara akusu
11,False,10,7,3,ja,toittaraotousangakumanokawatokashikanokawamotsutenaichisaittekurukaranochiniiimonowotaitesono || ni || ttejibunnodaijinakamisamadakaramonotabesaseteyatteteotousangaittandatte,orowano i= kopasirota toittaraotousangakumanokawatokashikanokawamotsutenaichisaittekurukaranochiniiimonowotaitesono horkew ni a= kor kamuy ttejibunnodaijinakamisamadakaramonotabesaseteyatteteotousangaittandatte
12,False,9,8,1,ja,toittarachantoiimonowotaiteuchinodaijinakamisamanitabesaseteteotousanitteitano,a= kor kamuy e= ipere kus ne na” toittarachantoiimonowotaiteuchinodaijinakamisamanitabesaseteteotousanitteitano
13,False,13,9,4,ja,otousan || hi || otousanfunedemodekaketanowakattarakondookaasangasugokuikarundattekono || nokotoitteikarundatte,"otousan repun wa arpa, hi eramuan unuhu otousanfunedemodekaketanowakattarakondookaasangasugokuikarundattekono wen kamuy tte horkew nokotoitteikarundatte"
